opcode,obf_file,real_class,direction,confidence,base
1,aqb,DisconnectionNotificationMessage,C2S,opcode-only,so_0
1,ll_2,LoginMessage,C2S,high,axX
2,apg_1,ReconnectionTicketMessage,S2C,opcode-only,ael_2
2,tI,ReconnectionTicketMessage,C2S,opcode-only,axX
3,po_1,ReconnectionTicketRequestMessage,C2S,opcode-only,axX
3,tL,ReconnectionTicketRequestMessage,C2S,opcode-only,so_0
4,nu_2,ReconnectionTicketRequestResultMessage,S2C,opcode-only,ael_2
6,asu,,S2C,new-in-2.70,ael_2
7,na,ClientVersionMessage,C2S,high,so_0
8,oq_1,InvalidClientVersionMessage,S2C,opcode-only,ael_2
9,avT,,S2C,new-in-2.70,ael_2
10,ms_0,PropertyListQueryMessage,C2S,opcode-only,axX
11,afy_2,PropertyItemMessage,C2S,high,axX
12,pn_2,PropertyQueryMessage,C2S,high,axX
20,rx_0,,C2S,new-in-2.70,axX
100,es_0,,S2C,new-in-2.70,ael_2
101,aFC,,C2S,new-in-2.70,so_0
102,ja_0,,S2C,new-in-2.70,ael_2
103,dm_0,,S2C,new-in-2.70,qr_2
103,qr_2,,S2C,new-in-2.70,ael_2
105,Ve,,S2C,new-in-2.70,ael_2
106,lo,,S2C,new-in-2.70,ael_2
107,asg_0,,C2S,new-in-2.70,so_0
108,abj_0,,S2C,new-in-2.70,ael_2
200,rz_2,,S2C,new-in-2.70,ael_2
201,bd_2,,C2S,new-in-2.70,so_0
202,tt_2,,S2C,new-in-2.70,ael_2
204,il_0,,S2C,new-in-2.70,ael_2
206,acc_2,,S2C,new-in-2.70,ael_2
501,uq_2,,C2S,new-in-2.70,so_0
502,auf_0,,S2C,new-in-2.70,ael_2
504,mD,,S2C,new-in-2.70,ael_2
509,atM,,C2S,new-in-2.70,so_0
510,arl_0,,S2C,new-in-2.70,ael_2
511,awR,,C2S,new-in-2.70,so_0
513,wt_1,,C2S,new-in-2.70,so_0
517,auZ,,C2S,new-in-2.70,so_0
519,add_2,,C2S,new-in-2.70,so_0
539,F,,C2S,new-in-2.70,so_0
551,mx_1,,C2S,new-in-2.70,so_0
553,abo_0,,C2S,new-in-2.70,so_0
555,Nr,,C2S,new-in-2.70,so_0
556,h_0,,S2C,new-in-2.70,ael_2
557,Ko,,C2S,new-in-2.70,so_0
558,ahU,,S2C,new-in-2.70,ael_2
560,ry_1,,S2C,new-in-2.70,ael_2
1024,Uk,ResultMessage,S2C,opcode-only,ael_2
1025,bu_1,ClientAuthenticationMessage,C2S,high,so_0
1026,fm_1,WorldServerUnavailableMessage,S2C,opcode-only,ael_2
