opcode,obf_file,obf_orig,kind,base,direction,fp_write,fp_read
1,aqb,aqb,NET,so_0,C2S,,
1,ll_2,ll,NET,axX,C2S,bbbb,bbbb
2,apg_1,aPg,NET,ael_2,S2C,,
2,tI,tI,NET,axX,C2S,,
3,po_1,po,NET,axX,C2S,,
3,tL,tL,NET,so_0,C2S,,
4,nu_2,nu,NET,ael_2,S2C,,
6,asu,asu,NET,ael_2,S2C,,
7,na,na,NET,so_0,C2S,bSbb,
8,oq_1,oQ,NET,ael_2,S2C,,
9,avT,avT,NET,ael_2,S2C,,
10,ms_0,mS,NET,axX,C2S,,
11,afy_2,afY,NET,axX,C2S,bbIbbIbSILDFbb,bbIbbIbSILDFbb
12,pn_2,PN,NET,axX,C2S,bb,bb
20,rx_0,rX,NET,axX,C2S,IIb,IbbSILFDb
100,es_0,es,NET,ael_2,S2C,,bSSI
101,aFC,aFC,NET,so_0,C2S,Sb,
102,ja_0,Ja,NET,ael_2,S2C,,bSb
103,dm_0,dm,NET,qr_2,S2C,,
103,qr_2,qR,NET,ael_2,S2C,,I
105,Ve,Ve,NET,ael_2,S2C,,bISb
106,lo,lo,NET,ael_2,S2C,,bbbbIbb
107,asg_0,asG,NET,so_0,C2S,bIL,
108,abj_0,aBJ,NET,ael_2,S2C,,bILLL
200,rz_2,rZ,NET,ael_2,S2C,,SLSb
201,bd_2,bD,NET,so_0,C2S,LS,
202,tt_2,TT,NET,ael_2,S2C,,LSb
204,il_0,Il,NET,ael_2,S2C,,SLLSbL
206,acc_2,aCC,NET,ael_2,S2C,,SL
501,uq_2,uq,NET,so_0,C2S,bbbbLbbLL,
502,auf_0,auF,NET,ael_2,S2C,,bbbbb
504,mD,mD,NET,ael_2,S2C,,bI
509,atM,atM,NET,so_0,C2S,bbb,
510,arl_0,arl,NET,ael_2,S2C,,Sb
511,awR,awR,NET,so_0,C2S,L,
513,wt_1,wt,NET,so_0,C2S,Lbb,
517,auZ,auZ,NET,so_0,C2S,L,
519,add_2,aDD,NET,so_0,C2S,L,
539,F,F,NET,so_0,C2S,b,
551,mx_1,MX,NET,so_0,C2S,LSII,
553,abo_0,aBO,NET,so_0,C2S,LIbb,
555,Nr,Nr,NET,so_0,C2S,LISSbb,
556,h_0,H,NET,ael_2,S2C,,L
557,Ko,Ko,NET,so_0,C2S,LS,
558,ahU,ahU,NET,ael_2,S2C,,bbbb
560,ry_1,rY,NET,ael_2,S2C,,bbb
1024,Uk,Uk,NET,ael_2,S2C,,bI
1025,bu_1,BU,NET,so_0,C2S,bbbb,
1026,fm_1,fM,NET,ael_2,S2C,,
2048,amz_0,aMz,NET,ael_2,S2C,,
2049,alq_0,aLq,NET,so_0,C2S,bbbbb,
2050,az_0,Az,NET,ael_2,S2C,,
2052,aoh_2,aoH,NET,ael_2,S2C,,
2070,nj,nj,NET,ael_2,S2C,,Ib
2260,py_0,pY,NET,so_0,C2S,L,
2261,wv_2,WV,NET,ael_2,S2C,,b
2300,bk_1,bk,NET,ael_2,S2C,,LS
2301,agp_1,aGp,NET,so_0,C2S,SSIL,b
2302,apa_0,aPa,NET,ael_2,S2C,,
2303,adj_0,adj,NET,so_0,C2S,,
2304,Hf,Hf,NET,ael_2,S2C,,
2306,tj_2,Tj,NET,ael_2,S2C,,
2307,bx_1,BX,NET,ael_2,S2C,,LIbIbSIL
2308,Pg,Pg,NET,so_0,C2S,LSILb,b
2309,cJ,cJ,NET,ael_2,S2C,,b
2400,pl_1,Pl,NET,ael_2,S2C,,Sb
2401,uf_0,uF,NET,ael_2,S2C,,Sb
2411,HJ,HJ,NET,ael_2,S2C,,ISSSIII
2600,mL,mL,NET,so_0,C2S,L,
