opcode,obf,real,dir,declared_len,field_idx,field_name,type,bytes,note
1,aqb,DisconnectionNotificationMessage,C2S,,,(no fields / empty),,,
1,ll_2,LoginMessage,C2S,1 + byArray.length + 1 + byArray2.length,0,,i8/bytes,0,
1,ll_2,LoginMessage,C2S,1 + byArray.length + 1 + byArray2.length,1,,i8/bytes,0,
1,ll_2,LoginMessage,C2S,1 + byArray.length + 1 + byArray2.length,2,,i8/bytes,0,
1,ll_2,LoginMessage,C2S,1 + byArray.length + 1 + byArray2.length,3,,i8/bytes,0,
2,apg_1,ReconnectionTicketMessage,S2C,,,(no fields / empty),,,
2,tI,ReconnectionTicketMessage,C2S,,,(no fields / empty),,,
3,po_1,ReconnectionTicketRequestMessage,C2S,,,(no fields / empty),,,
3,tL,ReconnectionTicketRequestMessage,C2S,,,(no fields / empty),,,
4,nu_2,ReconnectionTicketRequestResultMessage,S2C,1 (min),,(no fields / empty),,,
6,asu,,S2C,,,(no fields / empty),,,
7,na,ClientVersionMessage,C2S,4 + kS.BUILD_VERSION.length(,0,,i8/bytes,0,
7,na,ClientVersionMessage,C2S,4 + kS.BUILD_VERSION.length(,1,,i16,2,
7,na,ClientVersionMessage,C2S,4 + kS.BUILD_VERSION.length(,2,,i8/bytes,0,
7,na,ClientVersionMessage,C2S,4 + kS.BUILD_VERSION.length(,3,,i8/bytes,0,
8,oq_1,InvalidClientVersionMessage,S2C,,,(no fields / empty),,,
9,avT,,S2C,2 (exact),,(no fields / empty),,,
10,ms_0,PropertyListQueryMessage,C2S,,,(no fields / empty),,,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,0,,i8/bytes,0,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,1,,i8/bytes,0,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,2,,i32,4,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,3,,i8/bytes,0,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,4,,i8/bytes,0,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,5,,i32,4,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,6,,i8/bytes,0,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,7,,i16,2,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,8,,i32,4,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,9,,i64,8,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,10,,f64,8,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,11,,f32,4,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,12,,i8/bytes,0,
11,afy_2,PropertyItemMessage,C2S,1 + byArray.length + 1 + byArray2.length + 4 + 4 + n2,13,,i8/bytes,0,
12,pn_2,PropertyQueryMessage,C2S,1 + byArray.length,0,,i8/bytes,0,
12,pn_2,PropertyQueryMessage,C2S,1 + byArray.length,1,,i8/bytes,0,
20,rx_0,,C2S,4 + byArray.length,0,,i32,4,
20,rx_0,,C2S,4 + byArray.length,1,,i8/bytes,0,
100,es_0,,S2C,9 (exact),0,,i8,1,
100,es_0,,S2C,9 (exact),1,,i16,2,
100,es_0,,S2C,9 (exact),2,,i16,2,
100,es_0,,S2C,9 (exact),3,,i32,4,
101,aFC,,C2S,byArray.length + 2,0,,i16,2,
101,aFC,,C2S,byArray.length + 2,1,,i8/bytes,0,
102,ja_0,,S2C,3 (min),0,,i8,1,
102,ja_0,,S2C,3 (min),1,,i16,2,
103,dm_0,,S2C,,,(no fields / empty),,,
103,qr_2,,S2C,,,(no fields / empty),,,
105,Ve,,S2C,3 (min),0,,i8,1,
105,Ve,,S2C,3 (min),1,,i32,4,
105,Ve,,S2C,3 (min),2,,i16,2,
106,lo,,S2C,1 (min),0,,i8,1,
107,asg_0,,C2S,13,0,,i8/bytes,0,
107,asg_0,,C2S,13,1,,i32,4,
107,asg_0,,C2S,13,2,,i64,8,
108,abj_0,,S2C,29 (exact),0,,i8,1,
108,abj_0,,S2C,29 (exact),1,,i32,4,
108,abj_0,,S2C,29 (exact),2,,i64,8,
108,abj_0,,S2C,29 (exact),3,,i64,8,
108,abj_0,,S2C,29 (exact),4,,i64,8,
200,rz_2,,S2C,,0,,i16,2,"contains loop/collection - variable-length, verify source"
200,rz_2,,S2C,,1,,i64,8,"contains loop/collection - variable-length, verify source"
200,rz_2,,S2C,,2,,i16,2,"contains loop/collection - variable-length, verify source"
201,bd_2,,C2S,12,0,,i64,8,
201,bd_2,,C2S,12,1,,i16,2,
202,tt_2,,S2C,,,(no fields / empty),,,
204,il_0,,S2C,,0,,i16,2,"contains loop/collection - variable-length, verify source"
204,il_0,,S2C,,1,,i64,8,"contains loop/collection - variable-length, verify source"
204,il_0,,S2C,,2,,i64,8,"contains loop/collection - variable-length, verify source"
204,il_0,,S2C,,3,,i16,2,"contains loop/collection - variable-length, verify source"
204,il_0,,S2C,,4,,i64,8,"contains loop/collection - variable-length, verify source"
206,acc_2,,S2C,,0,,i16,2,"contains loop/collection - variable-length, verify source"
206,acc_2,,S2C,,1,,i64,8,"contains loop/collection - variable-length, verify source"
501,uq_2,,C2S,3 + byArray.length + 8,0,,i8/bytes,0,
501,uq_2,,C2S,3 + byArray.length + 8,1,,i8/bytes,0,
501,uq_2,,C2S,3 + byArray.length + 8,2,,i8/bytes,0,
501,uq_2,,C2S,3 + byArray.length + 8,3,,i8/bytes,0,
501,uq_2,,C2S,3 + byArray.length + 8,4,,i64,8,
501,uq_2,,C2S,3 + byArray.length + 8,5,,i8/bytes,0,
501,uq_2,,C2S,3 + byArray.length + 8,6,,i8/bytes,0,
501,uq_2,,C2S,3 + byArray.length + 8,7,,i64,8,
501,uq_2,,C2S,3 + byArray.length + 8,8,,i64,8,
502,auf_0,,S2C,,0,,i8,1,
502,auf_0,,S2C,,1,,i8,1,
502,auf_0,,S2C,,2,,i8,1,
504,mD,,S2C,,0,,i8,1,
504,mD,,S2C,,1,,i32,4,
509,atM,,C2S,2 + byArray.length,0,,i8/bytes,0,
509,atM,,C2S,2 + byArray.length,1,,i8/bytes,0,
509,atM,,C2S,2 + byArray.length,2,,i8/bytes,0,
510,arl_0,,S2C,,0,,i16,2,
511,awR,,C2S,8,0,,i64,8,
513,wt_1,,C2S,9 + byArray.length,0,,i64,8,
513,wt_1,,C2S,9 + byArray.length,1,,i8/bytes,0,
513,wt_1,,C2S,9 + byArray.length,2,,i8/bytes,0,
517,auZ,,C2S,8,0,,i64,8,
519,add_2,,C2S,8,0,,i64,8,
539,F,,C2S,this.ay.nj(,0,,i8/bytes,0,
551,mx_1,,C2S,18,0,,i64,8,
551,mx_1,,C2S,18,1,,i16,2,
551,mx_1,,C2S,18,2,,i32,4,
551,mx_1,,C2S,18,3,,i32,4,
553,abo_0,,C2S,13 + byArray.length,0,,i64,8,
553,abo_0,,C2S,13 + byArray.length,1,,i32,4,
553,abo_0,,C2S,13 + byArray.length,2,,i8/bytes,0,
553,abo_0,,C2S,13 + byArray.length,3,,i8/bytes,0,
555,Nr,,C2S,17 + byArray.length,0,,i64,8,
555,Nr,,C2S,17 + byArray.length,1,,i32,4,
555,Nr,,C2S,17 + byArray.length,2,,i16,2,
555,Nr,,C2S,17 + byArray.length,3,,i16,2,
555,Nr,,C2S,17 + byArray.length,4,,i8/bytes,0,
