cfr_name,original_name
A,A
AI,AI
AJ,AJ
AM,AM
AP,AP
AS,AS
AU,AU
AV,AV
AW,AW
Ab,Ab
Ac,Ac
Ad,Ad
Af,Af
An,An
Aq,Aq
Ax,Ax
B,B
BP,BP
BQ,BQ
BT,BT
BV,BV
BY,BY
Bb,Bb
Bc,Bc
Bf,Bf
Bg,Bg
Bk,Bk
Bs,Bs
C,C
CG,CG
CI,CI
CN,CN
CU,CU
Cc,Cc
Cm,Cm
Co,Co
Cp,Cp
Cs,Cs
Ct,Ct
D,D
DF,DF
DM,DM
DQ,DQ
DR,DR
DS,DS
DV,DV
Db,Db
Dg,Dg
Dj,Dj
Du,Du
Dw,Dw
E,E
EA,EA
EM,EM
EO,EO
ER,ER
EV,EV
EY,EY
Ed,Ed
Eh,Eh
Ei,Ei
Ej,Ej
Eq,Eq
Es,Es
Ew,Ew
F,F
FO,FO
FX,FX
Fa,Fa
Fc,Fc
Fd,Fd
Fh,Fh
Fm,Fm
Fn,Fn
Fq,Fq
Fu,Fu
Fw,Fw
G,G
GD,GD
GE,GE
GN,GN
GT,GT
GV,GV
GY,GY
GZ,GZ
Ga,Ga
Gb,Gb
Gf,Gf
Gk,Gk
Gp,Gp
Gr,Gr
Gs,Gs
Gx,Gx
HA,HA
HB,HB
HC,HC
HJ,HJ
HL,HL
HP,HP
HQ,HQ
HV,HV
HW,HW
Hf,Hf
Hh,Hh
Hs,Hs
Ht,Ht
Hu,Hu
IA,IA
IH,IH
IL,IL
IP,IP
IS,IS
IU,IU
IV,IV
Ib,Ib
If,If
Ii,Ii
Ik,Ik
Im,Im
Io,Io
Ir,Ir
Iw,Iw
Ix,Ix
Iy,Iy
J,J
JG,JG
JO,JO
JX,JX
JY,JY
Jc,Jc
Je,Je
Jk,Jk
Ju,Ju
KI,KI
KK,KK
KL,KL
KN,KN
KR,KR
KU,KU
KW,KW
KX,KX
Kf,Kf
Ko,Ko
Kt,Kt
Ky,Ky
LD,LD
LM,LM
LS,LS
LX,LX
La,La
Lb,Lb
Le,Le
Ll,Ll
Lr,Lr
Lw,Lw
Ly,Ly
Lz,Lz
M,M
MB,MB
MC,MC
MJ,MJ
MM,MM
MN,MN
MO,MO
MP,MP
MR,MR
MY,MY
Ma,Ma
Mf,Mf
Mg,Mg
Ms,Ms
Mz,Mz
NC,NC
ND,ND
NE,NE
NG,NG
NM,NM
NN,NN
NY,NY
Nh,Nh
Nl,Nl
Nr,Nr
OB,OB
OD,OD
OE,OE
OH,OH
OI,OI
OJ,OJ
OK,OK
OL,OL
OS,OS
OW,OW
OZ,OZ
Oa,Oa
Oc,Oc
Om,Om
On,On
Oo,Oo
Or,Or
Ou,Ou
P,P
PA,PA
PB,PB
PH,PH
PJ,PJ
PO,PO
PT,PT
PU,PU
PV,PV
PY,PY
PZ,PZ
Pf,Pf
Pg,Pg
Pi,Pi
Pm,Pm
Pq,Pq
Pr,Pr
QB,QB
QC,QC
QD,QD
QF,QF
QG,QG
QI,QI
QN,QN
QZ,QZ
Qa,Qa
R,R
RE,RE
RO,RO
RP,RP
RU,RU
Rq,Rq
Rr,Rr
Rx,Rx
S,S
SF,SF
SJ,SJ
SK,SK
SO,SO
SQ,SQ
ST,ST
Se,Se
Sg,Sg
Sm,Sm
Ss,Ss
Sz,Sz
T,T
TB,TB
TJ,TJ
TK,TK
TN,TN
TP,TP
TV,TV
Tc,Tc
Te,Te
Tg,Tg
Tm,Tm
Ts,Ts
Tw,Tw
Tx,Tx
Ty,Ty
U,U
UC,UC
UD,UD
UF,UF
UH,UH
UI,UI
UV,UV
UX,UX
Ue,Ue
Uj,Uj
Uk,Uk
Ul,Ul
Uo,Uo
Ur,Ur
Uy,Uy
Uz,Uz
V,V
VJ,VJ
VK,VK
Vb,Vb
Ve,Ve
Vm,Vm
Vw,Vw
Vz,Vz
W,W
WE,WE
WF,WF
WG,WG
WK,WK
WL,WL
WN,WN
WO,WO
WP,WP
WR,WR
WU,WU
WY,WY
Wb,Wb
Wd,Wd
Wh,Wh
Wi,Wi
Wm,Wm
Wq,Wq
Wt,Wt
Wv,Wv
Wz,Wz
XC,XC
XD,XD
XP,XP
XV,XV
XW,XW
Xe,Xe
Xg,Xg
Xh,Xh
Xi,Xi
Xk,Xk
Xu,Xu
Xz,Xz
YA,YA
YI,YI
YN,YN
YO,YO
YP,YP
YR,YR
YT,YT
YU,YU
YY,YY
Yk,Yk
Yq,Yq
Z,Z
ZC,ZC
ZT,ZT
Zb,Zb
Ze,Ze
Zi,Zi
Zq,Zq
Zu,Zu
aAD,aAD
aAF,aAF
