obf_true,ai_name,confidence,apply,role,domain,opcode,rationale
yh,AchievementMessageHandler,high,1,Handler,Achievement,,refs=[NetworkMessage UiEventBus] strs=[selectedAchievementType | selectedAchievementSubtype | selectedAchievement]
A,AchievementMessageHandler,high,1,Handler,Achievement,,refs=[NetworkMessage UiEventBus] strs=[achievementDialog]
Qg,ActorMessageHandler,high,1,Handler,Actor,,refs=[ActorAppearMessage ActorDisapearMessage ActorMovementMessage ActorRepositionMessage] strs=[AnimStatique02 | AnimHit | AnimHit02]
NO,ActorMessageHandler,high,1,Handler,Actor,,refs=[ActorDespawnMessage ActorMovementMessage ActorSpawnMessage ActorTeleportsMessage] strs=[Pas de chemin trouv\u00e9 pour le chemin de l'acteur distant : on le t\u00e9l\u00e9porte | Impossible de d
alD,CalendarMessage17008,high,1,Message,Calendar,17008,"refs=[OutputOnlyProxyMessage] strs=[Attention ! Pour ajouter deux \u00e9v\u00e8nements li\u00e9s, il faut utiliser la m\u00e9thode addDurationCalendarEvent !]"
zB,CalendarMessageHandler,high,1,Handler,Calendar,,refs=[NetworkMessage] strs=[calendarDialog | calendar | dofusarena.calendar]
GO,ChatMessage16385,high,1,Message,Chat,16385,refs=[UiEventBus] strs=[Erreur lors d'un checkOut sur un message de type UIChatOperationMessage : | UTF-8]
oM,ChatMessageHandler,high,1,Handler,Chat,,refs=[ChannelContentMessage ChannelFlagsMessage ChannelJoinMessage ChannelLeaveMessage] strs=[chat.notify.addFriend | error.chat.userNotFound | chat.notify.removeFriend]
QU,ChatMessageHandler,high,1,Handler,Chat,,refs=[AddFriendMessage AddIgnoreMessage NetworkMessage OutputOnlyProxyMessage] strs=[socialDialog | dofusarena.social | guildManagementDialog]
wP,ChatMessageHandler,high,1,Handler,Chat,,refs=[CoachActorMovementRequestMessage NetworkMessage] strs=[coachCanMove | chat.addToFriendList | chat.removeFromFriendList]
aAp,ChatMessageHandler,high,1,Handler,Chat,,refs=[NetworkMessage] strs=[chat.isMaximize | chat.selectedView | chat.dialogView]
PQ,CoachMessageHandler,high,1,Handler,Coach,,refs=[CoachCreationResultMessage CoachInformationsMessage NetworkMessage PlayerStatisticsReportMessage] strs=[error.coachCreation.invalidName | error.coachCreation | guildCanAffiliate]
aoG,CoachMessageHandler,high,1,Handler,Coach,,refs=[EnterInstanceMessage NetworkMessage] strs=[currentInstanceId | map | common]
ajo,CoachMessageHandler,high,1,Handler,Coach,,refs=[NetworkMessage] strs=[replayMode | singleCardData | fightResultSubstitutesDetailsDialog]
RB,CoachMessageHandler,high,1,Handler,Coach,,refs=[CoachEquipmentUpdateMessage CoachInventoryUpdateMessage NetworkMessage] strs=[graveyardDialog | evolutionDialog]
mG,CoachMessageHandler,high,1,Handler,Coach,,refs=[NetworkMessage] strs=[fireworkDialog | dofusarena.firework | fireworkLauncher]
tn,CoachMessageHandler,high,1,Handler,Coach,,refs=[NetworkMessage] strs=[actorDirection | dofusarena.coachManagement]
HM,CoachMessageHandler,high,1,Handler,Coach,,refs=[NetworkMessage] strs=[coachStatisticsDialog]
lo,CombatMessage106,high,1,Message,Combat,106,refs=[InputOnlyProxyMessage] strs=[bytes restant dans le buffer (2 requis) | bytes restant dans le buffer ( | requis)]
of,CombatMessageHandler,high,1,Handler,Combat,,refs=[CloseCombatMessage EffectAreaActionMessage FighterCardUseMessage FighterChangeDirectionMessage] strs=[Impossible d'instancier un runningEffect : | inconnu | hasBuff]
