obf_true,cfr,readable,source,opcode,direction,base,pkg2007
A,A,AchievementMessageHandler,ai,,,,
AA,aa_1,aa_1,auto,,,,
AB,ab_1,ab_1,auto,,,,
AC,ac_0,ac_0,auto,,,,
AD,ad_1,ad_1,auto,,,,
AE,ae_1,ae_1,auto,,,,
AF,af_0,af_0,auto,,,,
AG,ag_2,ag_2,auto,,,,
AH,ah_1,ah_1,auto,,,,
AI,AI,AI,auto,,,,
AJ,AJ,AJ,auto,,,,
AK,ak_0,ak_0,auto,,,,
AL,al_0,al_0,auto,,,,
AM,AM,AM,auto,,,,
AN,an_1,an_1,auto,,,,
AO,ao_2,ProxyMessageHandler,ai,,,,
AP,AP,AP,auto,,,,
AQ,aq_1,aq_1,auto,,,,
AR,ar_1,ar_1,auto,,,,
AS,AS,AS,auto,,,,
AT,at_2,at_2,auto,,,,
AU,AU,AU,auto,,,,
AV,AV,AV,auto,,,,
AW,AW,AW,auto,,,,
AX,ax_2,ChannelMembersMessage,opcode_map,3138,S2C,ael_2,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient
AY,ay_1,ay_1,auto,,,,
AZ,az_2,az_2,auto,,,,
Aa,aa_0,aa_0,auto,,,,
Ab,Ab,C2SMessage4518,ai,,,,
Ac,Ac,Ac,auto,,,,
Ad,Ad,Ad,auto,,,,
Ae,ae_0,ae_0,auto,,,,
Af,Af,Af,auto,,,,
Ag,ag_1,ag_1,auto,,,,
Ah,ah_0,ah_0,auto,,,,
Ai,ai_0,ai_0,auto,,,,
Aj,aj_0,aj_0,auto,,,,
Ak,ak_1,ak_1,auto,,,,
Al,al_1,al_1,auto,,,,
Am,am_0,am_0,auto,,,,
An,An,An,auto,,,,
Ao,ao_1,ao_1,auto,,,,
Ap,ap_0,ap_0,auto,,,,
Aq,Aq,Aq,auto,,,,
Ar,ar_0,TeamPresetListMessage,opcode_map,6030,S2C,ael_2,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.teamManagement
As,as_1,GiveUpFightRequestMessage,opcode_map,8151,C2S,so_0,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight
At,at_1,at_1,auto,,,,
Au,au_2,TeamMateSetReadyForPlacementRequestMessage,opcode_map,8011,C2S,so_0,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.fight
Av,av_2,av_2,auto,,,,
Aw,aw_2,aw_2,auto,,,,
Ax,Ax,Ax,auto,,,,
Ay,ay_2,ay_2,auto,,,,
Az,az_0,CoachCreationResultMessage,opcode_map,2050,S2C,ael_2,com.ankamagames.dofusarena.client.network.protocol.message.world.serverToClient
B,B,B,auto,,,,
BA,ba_1,ba_1,auto,,,,
BB,bb_1,bb_1,auto,,,,
BC,bc_0,bc_0,auto,,,,
BD,bd_1,bd_1,auto,,,,
BE,be_0,be_0,auto,,,,
BF,bf_0,bf_0,auto,,,,
BG,bg_2,bg_2,auto,,,,
BH,bh_2,bh_2,auto,,,,
BI,bi_2,C2SMessage28605,ai,,,,
BJ,bj_2,bj_2,auto,,,,
BK,bk_0,bk_0,auto,,,,
BL,bl_2,bl_2,auto,,,,
BM,bm_2,bm_2,auto,,,,
BN,bn_0,bn_0,auto,,,,
BO,bo_0,bo_0,auto,,,,
BP,BP,BP,auto,,,,
BQ,BQ,BQ,auto,,,,
BR,br_1,br_1,auto,,,,
BS,bs_0,bs_0,auto,,,,
BT,BT,BT,auto,,,,
BU,bu_1,ClientAuthenticationMessage,opcode_map,1025,C2S,so_0,com.ankamagames.dofusarena.client.network.protocol.message.connection.clientToServer
BV,BV,BV,auto,,,,
BW,bw_2,bw_2,auto,,,,
BX,bx_1,S2CMessage2307,ai,,,,
BY,BY,BY,auto,,,,
BZ,bz_2,bz_2,auto,,,,
Ba,ba_2,ba_2,auto,,,,
Bb,Bb,Bb,auto,,,,
Bc,Bc,Bc,auto,,,,
Bd,bd_0,bd_0,auto,,,,
Be,be_1,be_1,auto,,,,
Bf,Bf,Bf,auto,,,,
Bg,Bg,Bg,auto,,,,
Bh,bh_0,bh_0,auto,,,,
Bi,bi_0,bi_0,auto,,,,
Bj,bj_1,bj_1,auto,,,,
Bk,Bk,Bk,auto,,,,
Bl,bl_1,C2SMessage26303,ai,,,,
Bm,bm_1,C2SMessage23101,ai,,,,
Bn,bn_1,bn_1,auto,,,,
Bo,bo_1,ProxyMessageHandler_1,ai,,,,
Bp,bp_0,bp_0,auto,,,,
Bq,bq_0,bq_0,auto,,,,
Br,br_2,br_2,auto,,,,
Bs,Bs,ChannelLeaveMessage,opcode_map,3132,S2C,ael_2,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient
Bt,bt_0,C2SMessage28609,ai,,,,
Bu,bu_2,bu_2,auto,,,,
Bv,bv_0,bv_0,auto,,,,
Bw,bw_1,bw_1,auto,,,,
Bx,bx_0,bx_0,auto,,,,
By,by_1,ChannelFlagsMessage,opcode_map,3128,S2C,ael_2,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient
Bz,bz_1,bz_1,auto,,,,
C,C,C,auto,,,,
CA,ca_0,ca_0,auto,,,,
CB,cb_2,cb_2,auto,,,,
CC,cc_1,cc_1,auto,,,,
CD,cd_0,cd_0,auto,,,,
CE,ce_2,ce_2,auto,,,,
CF,cf_2,cf_2,auto,,,,
CG,CG,CG,auto,,,,
CH,ch_1,ch_1,auto,,,,
CI,CI,CI,auto,,,,
CJ,cj_0,ProxyMessageHandler_2,ai,,,,
CK,ck_1,ck_1,auto,,,,
CL,cl_1,cl_1,auto,,,,
CM,cm_0,cm_0,auto,,,,
CN,CN,CN,auto,,,,
CO,co_0,co_0,auto,,,,
CP,cp_0,ExchangeMessageHandler,ai,,,,
CQ,cq_1,cq_1,auto,,,,
CR,cr_0,cr_0,auto,,,,
CS,cs_0,cs_0,auto,,,,
CT,ct_2,ct_2,auto,,,,
CU,CU,NoInstanceServerAvailableMessage,opcode_map,5000,S2C,ael_2,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.serverStatus
CV,cv_2,cv_2,auto,,,,
CW,cw_0,cw_0,auto,,,,
CX,cx_1,ProxyMessage19000,ai,,,,
CY,cy_0,cy_0,auto,,,,
CZ,cz_2,cz_2,auto,,,,
Ca,ca_1,ca_1,auto,,,,
Cb,cb_1,cb_1,auto,,,,
Cc,Cc,Cc,auto,,,,
Cd,cd_1,cd_1,auto,,,,
Ce,ce_1,TeamMessageHandler,ai,,,,
Cf,cf_1,cf_1,auto,,,,
Cg,cg_2,cg_2,auto,,,,
Ch,ch_2,ch_2,auto,,,,
Ci,ci_0,ci_0,auto,,,,
Cj,cj_1,cj_1,auto,,,,
Ck,ck_2,C2SMessage27514,ai,,,,
Cl,cl_2,cl_2,auto,,,,
Cm,Cm,Cm,auto,,,,
Cn,cn_0,cn_0,auto,,,,
Co,Co,ProxyMessage24000,ai,,,,
Cp,Cp,Cp,auto,,,,
Cq,cq_0,cq_0,auto,,,,
Cr,cr_2,cr_2,auto,,,,
Cs,Cs,Cs,auto,,,,
Ct,Ct,Ct,auto,,,,
Cu,cu_0,cu_0,auto,,,,
Cv,cv_1,cv_1,auto,,,,
Cw,cw_2,cw_2,auto,,,,
Cx,cx_0,cx_0,auto,,,,
Cy,cy_1,cy_1,auto,,,,
Cz,cz_1,cz_1,auto,,,,
D,D,D,auto,,,,
DA,da_2,da_2,auto,,,,
DB,db_2,db_2,auto,,,,
DC,dc_1,dc_1,auto,,,,
DD,dd_2,dd_2,auto,,,,
DE,de_2,de_2,auto,,,,
DF,DF,DF,auto,,,,
DG,dg_0,S2CMessage28630,ai,,,,
DH,dh_1,dh_1,auto,,,,
DI,di_2,di_2,auto,,,,
DJ,dj_0,dj_0,auto,,,,
DK,dk_2,dk_2,auto,,,,
DL,dl_1,dl_1,auto,,,,
DM,DM,DM,auto,,,,
DN,dn_0,dn_0,auto,,,,
DO,do_2,CombatMessageHandler,ai,,,,
DP,dp_0,C2SMessage27500,ai,,,,
DQ,DQ,DeletionFighterInformationMessage,opcode_map,6002,S2C,ael_2,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.teamManagement
DR,DR,S2CMessage28612,ai,,,,
DS,DS,DS,auto,,,,
DT,dt_2,dt_2,auto,,,,
DU,du_1,du_1,auto,,,,
DV,DV,DV,auto,,,,
DW,dw_1,TeamMateSetReadyForObservationMessage,opcode_map,8024,S2C,ael_2,com.ankamagames.dofusarena.client.network.protocol.message.game.serverToClient.fight
DX,dx_2,TeamMessageHandler_1,ai,,,,
DY,dy_2,S2CMessage6025,ai,,,,
DZ,dz_2,dz_2,auto,,,,
Da,da_0,da_0,auto,,,,
Db,Db,ProxyMessage16604,ai,,,,
Dc,dc_0,dc_0,auto,,,,
Dd,dd_0,dd_0,auto,,,,
De,de_0,S2CMessage28610,ai,,,,
Df,df_2,df_2,auto,,,,
Dg,Dg,Dg,auto,,,,
Dh,dh_0,NotificationFriendOnlineMessage,opcode_map,3148,S2C,ael_2,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient
Di,di_1,di_1,auto,,,,
Dj,Dj,Dj,auto,,,,
Dk,dk_0,dk_0,auto,,,,
Dl,dl_2,dl_2,auto,,,,
Dm,dm_1,dm_1,auto,,,,
Dn,dn_1,dn_1,auto,,,,
Do,do_0,do_0,auto,,,,
Dp,dp_2,dp_2,auto,,,,
Dq,dq_2,dq_2,auto,,,,
Dr,dr_1,dr_1,auto,,,,
Ds,ds_2,TournamentMessageHandler,ai,,,,
Dt,dt_1,dt_1,auto,,,,
Du,Du,Du,auto,,,,
Dv,dv_1,dv_1,auto,,,,
Dw,Dw,Dw,auto,,,,
Dx,dx_0,dx_0,auto,,,,
Dy,dy_1,dy_1,auto,,,,
Dz,dz_0,dz_0,auto,,,,
E,E,E,auto,,,,
EA,EA,EA,auto,,,,
EB,eb_1,eb_1,auto,,,,
EC,ec_2,ec_2,auto,,,,
ED,ed_0,ed_0,auto,,,,
EE,ee_2,ee_2,auto,,,,
EF,ef_0,ef_0,auto,,,,
EG,eg_1,eg_1,auto,,,,
EH,eh_0,eh_0,auto,,,,
EI,ei_1,ei_1,auto,,,,
EJ,ej_1,ej_1,auto,,,,
EK,ek_2,ek_2,auto,,,,
EL,el_2,el_2,auto,,,,
EM,EM,EM,auto,,,,
EN,en_0,en_0,auto,,,,
EO,EO,EO,auto,,,,
EP,ep_1,ep_1,auto,,,,
EQ,eq_1,S2CMessage27528,ai,,,,
ER,ER,ER,auto,,,,
ES,es_2,es_2,auto,,,,
ET,et_1,et_1,auto,,,,
EU,eu_2,eu_2,auto,,,,
EV,EV,EV,auto,,,,
EW,ew_1,ew_1,auto,,,,
EX,ex_0,ex_0,auto,,,,
EY,EY,EY,auto,,,,
EZ,ez_1,ez_1,auto,,,,
Ea,ea_1,ea_1,auto,,,,
Eb,eb_0,eb_0,auto,,,,
Ec,ec_1,ec_1,auto,,,,
Ed,Ed,Ed,auto,,,,
Ee,ee_0,ee_0,auto,,,,
Ef,ef_1,ef_1,auto,,,,
Eg,eg_2,eg_2,auto,,,,
Eh,Eh,S2CMessage15003,ai,,,,
Ei,Ei,Ei,auto,,,,
Ej,Ej,Ej,auto,,,,
Ek,ek_1,ek_1,auto,,,,
El,el_0,el_0,auto,,,,
Em,em_1,em_1,auto,,,,
En,en_2,en_2,auto,,,,
Eo,eo_0,eo_0,auto,,,,
Ep,ep_2,ep_2,auto,,,,
Eq,Eq,Eq,auto,,,,
Er,er_0,er_0,auto,,,,
Es,Es,Es,auto,,,,
Et,et_2,et_2,auto,,,,
Eu,eu_1,eu_1,auto,,,,
Ev,ev_2,ev_2,auto,,,,
Ew,Ew,Ew,auto,,,,
Ex,ex_2,ex_2,auto,,,,
Ey,ey_1,ey_1,auto,,,,
Ez,ez_2,MemberNotFoundMessage,opcode_map,3208,S2C,ael_2,com.ankamagames.baseImpl.client.proxyclient.base.network.protocol.message.chat.serverToClient.errorMessage
F,F,C2SMessage539,ai,,,,
FA,fa_2,fa_2,auto,,,,
FB,fb_1,fb_1,auto,,,,
FC,fc_1,fc_1,auto,,,,
FD,fd_0,fd_0,auto,,,,
FE,fe_1,fe_1,auto,,,,
FF,ff_2,ff_2,auto,,,,
FG,fg_0,fg_0,auto,,,,
FH,fh_0,CoachInventoryUpdateRequestMessage,opcode_map,5203,C2S,so_0,com.ankamagames.dofusarena.client.network.protocol.message.game.clientToServer.coachManagement
FI,fi_2,fi_2,auto,,,,
FJ,fj_0,fj_0,auto,,,,
FK,fk_1,fk_1,auto,,,,
FL,fl_1,fl_1,auto,,,,
FM,fm_0,fm_0,auto,,,,
FN,fn_2,fn_2,auto,,,,
FO,FO,FO,auto,,,,
FP,fp_0,GameMessageDispatcher,framework,,,,
FQ,fq_0,fq_0,auto,,,,
FR,fr_2,fr_2,auto,,,,
FS,fs_0,fs_0,auto,,,,
