owner_obf,owner_readable,field_obf,field_new,why
A,AchievementMessageHandler,an,achievementMessageHandler,ref-type
yh,AchievementMessageHandler_1,aAL,achievementMessageHandler_1,ref-type
aEV,ActorAppearMessage,cOs,arrayList,prim
NO,ActorMessageHandler,bAz,actorMessageHandler,ref-type
Qg,ActorMessageHandler_1,bFT,actorMessageHandler_1,ref-type
avf,ActorMovementMessage,aDU,num,prim
avf,ActorMovementMessage,axC,lng,prim
aqB,ActorRepositionMessage,cOs,arrayList,prim
XE,ActorSpawnMessage,bYT,arrayList,prim
xp,ActorTeleportsMessage,axC,lng,prim
xp,ActorTeleportsMessage,nE,num,prim
xp,ActorTeleportsMessage,nF,num2,prim
xp,ActorTeleportsMessage,nG,sht,prim
QZ,AddFriendMessage,abZ,str,prim
MP,AddIgnoreMessage,bak,str,prim
rX,AdminMessage20,JR,bt,prim
rX,AdminMessage20,JS,bt2,prim
rX,AdminMessage20,JT,bt3,prim
rX,AdminMessage20,JU,bt4,prim
rX,AdminMessage20,JW,bt5,prim
rX,AdminMessage20,JV,bt6,prim
rX,AdminMessage20,JX,bt7,prim
rX,AdminMessage20,aiI,list,prim
rX,AdminMessage20,aiJ,num,prim
acf,AssetBinaryReader,cjn,num,prim
acf,AssetBinaryReader,cjo,bt,prim
acf,AssetBinaryReader,cjp,bt2,prim
aIJ,AssetBinaryWriter,dQy,num,prim
aIJ,AssetBinaryWriter,dQz,num2,prim
aIJ,AssetBinaryWriter,dQA,flag,prim
aIJ,AssetBinaryWriter,bcN,lng,prim
aIJ,AssetBinaryWriter,dQB,flag2,prim
aFC,C2SMessage101,arg,command,accessor
aFC,C2SMessage101,bLb,bt,prim
aDs,C2SMessage15004,dxo,lngArr,prim
aKk,C2SMessage15006,ia,lng,prim
fu,C2SMessage17004,rc,lng,prim
aGh,C2SMessage17006,rc,lng,prim
aFu,C2SMessage17010,dGZ,num,prim
aFu,C2SMessage17010,dHa,numArr,prim
aFu,C2SMessage17010,BF,str,prim
aFu,C2SMessage17010,bGv,str2,prim
aFu,C2SMessage17010,dHe,arrayList,prim
aFu,C2SMessage17010,dHf,bt,prim
aFu,C2SMessage17010,dHg,num2,prim
aFu,C2SMessage17010,dHh,numArr2,prim
bD,C2SMessage201,gY,lng,prim
bD,C2SMessage201,gZ,sht,prim
nq,C2SMessage22003,Oo,sht,prim
nq,C2SMessage22003,Op,flag,prim
nq,C2SMessage22003,Oq,sht2,prim
axH,C2SMessage22004,sB,lng,prim
Tx,C2SMessage22093,cD,num,prim
axF,C2SMessage22095,cD,num,prim
axF,C2SMessage22095,Hq,num2,prim
axF,C2SMessage22095,Hr,num3,prim
axF,C2SMessage22095,Ht,lng,prim
OB,C2SMessage22097,cD,num,prim
bw,C2SMessage22099,aj,lng,prim
bw,C2SMessage22099,cD,num,prim
pY,C2SMessage2260,sB,lng,prim
Jc,C2SMessage23000,aj,lng,prim
Jc,C2SMessage23000,bjk,flag,prim
aBN,C2SMessage23001,Ho,lng,prim
aBN,C2SMessage23001,Gm,sht,prim
ajW,C2SMessage23003,Ho,lng,prim
ajW,C2SMessage23003,Gm,sht,prim
aow,C2SMessage23009,aj,lng,prim
aow,C2SMessage23009,cKY,num,prim
aow,C2SMessage23009,cD,num2,prim
Pg,C2SMessage2308,anl,lng,prim
