obf_true,cfr,score,opcode,extends,implements,n_methods,n_fields,refs_known,strings
DX,dx_2,26,,,atG,6,2,CreationFighterInformationMessage DeletionFighterInformationMessage DeletionTeamPresetMessage FighterInformationListMessage NetworkMessage SaveTeamPresetMessage TeamPresetListMessage TeamPresetListRequestMessage,fighterCreationDialog | fighterEquipmentDialog | teamManagement.filtredFighterList | teamManagement.teamPreset2vs2List | teamManagement.editableFighter | teamManagement.selectedCard | teamManagement.fighterEditionOpen | fightersOnBench
oM,om_0,26,,,atG,6,2,ChannelContentMessage ChannelFlagsMessage ChannelJoinMessage ChannelLeaveMessage ChannelMemberFlagsMessage ChannelMemberKickMessage ChannelMembersMessage ChannelNotFoundMessage,chat.notify.addFriend | error.chat.userNotFound | chat.notify.removeFriend | chat.notify.friendOnline | Ami inconnu  | friends.list | chat.notify.friendOffline | chat.notify.addIgnore
of,of_1,25,,,atG,6,2,CloseCombatMessage EffectAreaActionMessage FighterCardUseMessage FighterChangeDirectionMessage FighterMoveMessage FighterTackledMessage FighterTurnBeginMessage FighterTurnEndMessage,Impossible d'instancier un runningEffect : |  inconnu | hasBuff | interactiveBubbleDialog | ouch | ouch ! | cheat.turnDuration.decreased
Ce,ce_1,24,,,atG,6,1,CreationFighterInformationMessage DeletionFighterInformationMessage FighterInformationListMessage NetworkMessage TeamPresetListMessage TeamPresetListRequestMessage UpdatedFighterInformationInventoryMessage,loading | evolutionDialog | evolutionTeamManagementTuto2Dialog | evolutionTeamManagementTutoDialog | tournamentEvolutionDialog | tournamentGraveyardDialog | fighterCreationTutorialDialog | fighterCreationDialog
Ng,ng_2,23,28602,InputOnlyProxyMessage,,3,4,InputOnlyProxyMessage,UTF-8 | NAME CENSORED | nameCensored | DESCRIPTION CENSORED | descriptionCensored | ANKAMA | DemonsHours
Qg,qg_2,22,,,atG,7,2,ActorAppearMessage ActorDisapearMessage ActorMovementMessage ActorRepositionMessage ActorTeleportsMessage NetworkMessage,AnimStatique02 | AnimHit | AnimHit02 | AnimMarche02 | AnimCourse02 | L'acteur  |  est inconnu ! | Aucun fight !
lo,lo,21,106,InputOnlyProxyMessage,,7,2,InputOnlyProxyMessage, bytes restant dans le buffer (2 requis) |  bytes restant dans le buffer ( |  requis) |  bytes restant dans le buffer (4 requis) |  bytes restant dans le buffer (1 requis)
NO,no_2,20,,,atG,7,3,ActorDespawnMessage ActorMovementMessage ActorSpawnMessage ActorTeleportsMessage NetworkMessage,"Pas de chemin trouv\u00e9 pour le chemin de l'acteur distant : on le t\u00e9l\u00e9porte | Impossible de d\u00e9placer le personnage  |  car il n'existe pas ! | Impossible de t\u00e9l\u00e9porter le personnage  | [INTERACTIVE_ELEMENT_SPAWN_MESSAGE] Element id= | , data.length= |  byte(s) | spawn d'un element interactif inconnu id="
hU,hu_2,20,,,atG,14,3,CreateFighterInformationRequestMessage NetworkMessage SaveTeamPresetRequestMessage UiEventBus UpdateFighterInventoryRequestMessage,defaultFightProfile | teamManagement.editableTeamPreset | error.teamManagement.noTeamSelected | fighterCreationDialog | error.teamManagement.noMoreRoom | actorDescriptorLibrary | sex | teamManagement.selectedItemCardList
QU,qu_2,19,,,atG,6,1,AddFriendMessage AddIgnoreMessage NetworkMessage OutputOnlyProxyMessage RemoveFriendMessage RemoveIgnoreMessage UiEventBus,socialDialog | dofusarena.social | guildManagementDialog
Yq,Yq,19,28620,InputOnlyProxyMessage,,8,6,InputOnlyProxyMessage,Mauvaise utilisation d'un message de type  |  : Status \u00e9gal \u00e0  | UTF-8
ZZ,zz_0,19,27525,OutputOnlyProxyMessage,,8,5,OutputOnlyProxyMessage,1_AnimStatique | Arme | png
aMQ,amq_1,19,,avp_0,,12,3,ItemExchangeAddCardMessage ItemExchangeCardAddedMessage ItemExchangeEndMessage ItemExchangeSetReadyMessage NetworkMessage UiEventBus,coachManagement.currentSet | error.exchange.linkedCard | error.exchange.tooMuchCard | exchangeId | dofusarena.exchange | exchangeDialog | readyButtonEnabled
GO,go_1,18,16385,UiEventBus,,10,5,UiEventBus,Erreur lors d'un checkOut sur un message de type UIChatOperationMessage :  | UTF-8
NB,nb_0,18,,,atG,13,2,CreateFighterInformationRequestMessage NetworkMessage UiEventBus UpdateFighterInventoryRequestMessage,teamManagement.selectedItemCardListType | availableFighterCards | error.teamManagement.fightersCountExploded | teamLeague | error.evolution.tooManyFightersOnBench | error.evolution.graveyardFull | fighters | fightersOnBench
azL,azL,18,,,atG,7,3,FighterActorDirectionChangeRequestMessage MoveToFreePlacementRequestMessage NetworkMessage TeamMateSetReadyForObservationRequestMessage,fight.timeline.currentFighter | fighterControlsDialog | La sc\u00e8ne n'a pas de camera | La sc\u00e8ne n'a pas de cellules | pas de controlleur pour le fighter  | pas d'\u00e9quipe pour le fighter  | fightPlacementDialog | timelineDialog
IL,IL,17,28650,InputOnlyProxyMessage,,5,3,InputOnlyProxyMessage,UTF-8
JY,JY,17,4701,OutputOnlyProxyMessage,,4,0,OutputOnlyProxyMessage,UTF-8
Vr,vr_2,17,16801,UiEventBus,,4,2,UiEventBus,Erreur lors d'un checkOut sur un message de type UIExchangeInvitationAcceptRequestMessage : 
aBu,abu_1,17,30001,UiEventBus,,6,3,UiEventBus,Erreur lors d'un checkOut sur un message de type UIWorldSceneMouseMovedMessage : 
ado,ado,17,30000,UiEventBus,,8,4,UiEventBus,Erreur lors d'un checkOut sur un message de type UIWorldSceneMouseReleasedMessage : 
alD,ald_2,17,17008,OutputOnlyProxyMessage,,4,1,OutputOnlyProxyMessage,"Attention ! Pour ajouter deux \u00e9v\u00e8nements li\u00e9s, il faut utiliser la m\u00e9thode addDurationCalendarEvent !"
alF,alf_0,17,28649,OutputOnlyProxyMessage,,5,3,OutputOnlyProxyMessage,UTF-8
asE,asE,17,20072,UiEventBus,,6,3,UiEventBus,Erreur lors d'un checkOut sur un message de type UITournamentCreationRequestMessage : 
avT,avT,17,9,InputOnlyProxyMessage,,5,2,InputOnlyProxyMessage,Id fixe pour ce message. Ne peut \u00eatre chang\u00e9.
ayQ,ayQ,17,28603,OutputOnlyProxyMessage,,4,3,OutputOnlyProxyMessage,UTF-8
azS,azS,17,16802,UiEventBus,,4,2,UiEventBus,Erreur lors d'un checkOut sur un message de type UIRejectFightInvitationRequestMessage : 
Ab,Ab,16,4518,OutputOnlyProxyMessage,,2,0,OutputOnlyProxyMessage,
BI,bi_2,16,28605,OutputOnlyProxyMessage,,3,1,OutputOnlyProxyMessage,
BX,bx_1,16,2307,InputOnlyProxyMessage,,7,5,InputOnlyProxyMessage,
Bl,bl_1,16,26303,OutputOnlyProxyMessage,,4,2,OutputOnlyProxyMessage,
Bm,bm_1,16,23101,OutputOnlyProxyMessage,,4,2,OutputOnlyProxyMessage,
Bt,bt_0,16,28609,OutputOnlyProxyMessage,,5,3,OutputOnlyProxyMessage,
